code|text
01|diphtheria, tetanus toxoids and pertussis vaccine
02|trivalent poliovirus vaccine, live, oral
03|measles, mumps and rubella virus vaccine
04|measles and rubella virus vaccine
05|measles virus vaccine
06|rubella virus vaccine
07|mumps virus vaccine
08|hepatitis B vaccine, pediatric or pediatric/adolescent dosage
09|tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)
10|poliovirus vaccine, inactivated
100|pneumococcal conjugate vaccine, 7 valent
101|typhoid Vi capsular polysaccharide vaccine
102|DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine
103|meningococcal C conjugate vaccine
104|hepatitis A and hepatitis B vaccine
105|vaccinia (smallpox) vaccine, diluted
106|diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens
107|diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation
108|meningococcal ACWY vaccine, unspecified formulation
109|pneumococcal vaccine, unspecified formulation
11|pertussis vaccine
110|DTaP-hepatitis B and poliovirus vaccine
111|Influenza, live, trivalent, intranasal, preservative free
112|tetanus toxoid, unspecified formulation
113|tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)
114|meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)
115|tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed
116|rotavirus, live, pentavalent vaccine
118|human papilloma virus vaccine, bivalent
119|rotavirus, live, monovalent vaccine
120|diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)
121|zoster vaccine, live
122|rotavirus vaccine, unspecified formulation
123|influenza virus vaccine, H5N1, A/Vietnam/1203/2004 (national stockpile)
125|Novel Influenza-H1N1-09, live virus for nasal administration
126|Novel influenza-H1N1-09, preservative-free, injectable
127|Novel influenza-H1N1-09, injectable
128|Novel influenza-H1N1-09, all formulations
129|Japanese Encephalitis vaccine, unspecified formulation
130|Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated
131|Historical record of a typhus vaccination
132|Historical diphtheria and tetanus toxoids and acellular pertussis, poliovirus, Haemophilus b conjugate and hepatitis B (recombinant) vaccine.
133|pneumococcal conjugate vaccine, 13 valent
134|Japanese Encephalitis vaccine for intramuscular administration
135|Influenza, high-dose, split virus, trivalent, injectable, preservative free
136|meningococcal oligosaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4O)
137|HPV, unspecified formulation
138|tetanus and diphtheria toxoids, not adsorbed, for adult use
139|Td(adult) unspecified formulation
140|Influenza, split virus, trivalent, injectable, preservative free
141|Influenza, split virus, trivalent, injectable, contains preservative
142|tetanus toxoid, not adsorbed
143|Adenovirus, type 4 and type 7, live, oral
144|seasonal influenza, intradermal, preservative free
146|Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.
147|Meningococcal, MCV4, unspecified conjugate formulation(groups A, C, Y and W-135)
148|Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine
149|Influenza, live, quadrivalent, intranasal
15|influenza virus vaccine, split virus (incl. purified surface antigen)-retired CODE
150|Influenza, split virus, quadrivalent, injectable, preservative free
151|influenza nasal, unspecified formulation
152|Pneumococcal Conjugate, unspecified formulation
153|Influenza, Madin Darby Canine Kidney, subunit, trivalent, injectable, preservative free
155|Influenza, recombinant, trivalent, injectable, preservative free
158|Influenza, split virus, quadrivalent, injectable, contains preservative
16|influenza virus vaccine, whole virus
160|Influenza A monovalent (H5N1), adjuvanted, National stockpile 2013
161|Influenza, injectable,quadrivalent, preservative free, pediatric
162|meningococcal B vaccine, fully recombinant
163|meningococcal B vaccine, recombinant, OMV, adjuvanted
164|meningococcal B, unspecified formulation
165|Human Papillomavirus 9-valent vaccine
166|influenza, intradermal, quadrivalent, preservative free, injectable
167|meningococcal vaccine of unknown formulation and unknown serogroups
168|Influenza, adjuvanted, inactivated, trivalent, injectable, preservative free
169|Hep A, live attenuated-IM
17|Haemophilus influenzae type b vaccine, conjugate unspecified formulation
170|non-US diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)
171|Influenza, Madin Darby Canine Kidney, subunit, quadrivalent, injectable, preservative free
172|cholera, WC-rBS
173|cholera, BivWC
174|cholera, live attenuated
175|Human Rabies vaccine from human diploid cell culture
176|Human rabies vaccine from Chicken fibroblast culture
177|pneumococcal conjugate vaccine, 10 valent
178|Non-US bivalent oral polio vaccine (types 1 and 3)
179|Non-US monovalent oral polio vaccine, unspecified formulation
18|rabies vaccine, for intramuscular injection RETIRED CODE
182|Oral Polio Vaccine, Unspecified formulation
183|Yellow fever vaccine live - alternative formulation for vaccine shortage
184|Yellow fever vaccine, unspecified formulation
185|Influenza, recombinant, quadrivalent, injectable, preservative free
186|Influenza, Madin Darby Canine Kidney, subunit, quadrivalent, injectable, contains preservative
187|zoster vaccine recombinant
188|zoster vaccine, unspecified formulation
189|Hepatitis B vaccine (recombinant), CpG adjuvanted
19|Bacillus Calmette-Guerin vaccine
190|Typhoid conjugate vaccine (non-US)
191|meningococcal A polysaccharide vaccine (non-US)
192|meningococcal AC polysaccharide vaccine (non-US)
193|hepatitis A and hepatitis B vaccine, pediatric/adolescent (non-US)
194|influenza, Southern Hemisphere, unspecified formulation
195|Diphtheria, Tetanus, Poliomyelitis adsorbed
196|tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use, Lf unspecified
197|Influenza, high-dose, split virus, quadrivalent, injectable, preservative free
198|Diphtheria, pertussis, tetanus, hepatitis B, Haemophilus Influenza Type b, (Pentavalent)
20|diphtheria, tetanus toxoids and acellular pertussis vaccine
200|influenza, seasonal, Southern Hemisphere, quadrivalent, pediatric 0.25mL dose, preservative free
201|Influenza, seasonal, Southern Hemisphere, quadrivalent, 0.5 mL dose, preservative free
202|influenza, seasonal, Southern Hemisphere, quadrivalent, 0.5mL dose, with preservative
203|meningococcal polysaccharide (groups A, C, Y, W-135) tetanus toxoid conjugate vaccine 0.5mL dose, preservative free
204|Ebola Zaire vaccine, live, recombinant, 1mL dose
205|Influenza, adjuvanted, inactivated, quadrivalent, injectable, preservative free
206|Vaccinia, smallpox monkeypox vaccine, live attenuated, preservative free, subcutaneous or intradermal injection
207|SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 100 mcg/0.5mL dose or 50 mcg/0.25mL dose
208|SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 30 mcg/0.3mL dose
21|varicella virus vaccine
210|SARS-COV-2 (COVID-19) vaccine, vector non-replicating, recombinant spike protein-ChAdOx1, preservative free, 0.5 mL
