code,text
<,Off scale low
>,Off scale high
A,Abnormal
AA,Critical abnormal
AC,Anti-complementary substances present
B,Better
CAR,Carrier
Carrier,Carrier
D,Significant change down
DET,Detected
E,Equivocal
EX,outside threshold
EXP,Expected
H,High
H>,Significantly high
HH,Critical high
HM,Hold for Medical Review
HU,Significantly high
HX,above high threshold
I,Intermediate
IE,Insufficient evidence
IND,Indeterminate
L,Low
L<,Significantly low
LL,Critical low
LU,Significantly low
LX,below low threshold
MS,moderately susceptible
N,Normal
NCL,No CLSI defined breakpoint
ND,Not detected
NEG,Negative
NR,Non-reactive
NS,Non-susceptible
OBX,Interpretation qualifiers in separate OBX segments
ObservationInterpretationDetection,ObservationInterpretationDetection
ObservationInterpretationExpectation,ObservationInterpretationExpectation
POS,Positive
QCF,Quality control failure
R,Resistant
RR,Reactive
ReactivityObservationInterpretation,ReactivityObservationInterpretation
S,Susceptible
SDD,Susceptible-dose dependent
SYN-R,Synergy - resistant
SYN-S,Synergy - susceptible
TOX,Cytotoxic substance present
U,Significant change up
UNE,Unexpected
VS,very susceptible
W,Worse
WR,Weakly reactive
