code|text
442499005|Interpretation value
442705008|Reference range interpretation value
442777001|Borderline high
442779003|Borderline low
281301001|Within reference range
394844007|Outside reference range
281302008|Above reference range
281300000|Below reference range
717831006|Level of dependence
371154000|Dependent
371153006|Independent
371152001|Assisted
717844001|Volition interpretation
717896003|Does not
385640009|Does
371155004|Able to and does
444661000124105|Does without difficulty
444681000124100|Does with much difficulty
444671000124103|Does with some difficulty
371148001|Ability interpretation value
1091000175109|Requires practice
450461000124104|Partially able
371150009|Able
445481000124102|Has no difficulty doing
371157007|Difficulty
445141000124103|Has slight difficulty doing
371151008|Unable
6061000175107|No preference
263821009|Obstructed
56116003|Patent
373068000|Undetermined
448371000124103|Clinically undetermined
456791000124100|Don't know
39187007|Bent
90213003|False positive
61707005|False negative
255326006|Akinetic
373130004|Hyperkinetic
255385008|Hypokinetic
272519000|Absence findings
444991000124106|Repeatedly non-reactive
260385009|Negative
2667000|Absent
41277001|Lacking
17511009|Normal absence
47492008|Not seen
260386005|Nil
264868006|No growth
264869003|No neoplasm
260389003|No reaction
264871003|Nodules absent
260392004|Non-patent
260393009|Non-pigmented
260413007|None
260415000|Not detected
260387001|No anaerobes detected
895231008|Not detected in pooled specimen
264887000|Not isolated
260416004|Not itching
260414001|Nothing
260353006|Nothing at all
276727009|Null
264915001|Receptor absent
264929000|Superadded infection absent
260391006|Noninflammatory
260390007|Non-vital
373067005|No
263716002|Colorless
272143008|Completeness
420601008|Forme fruste
255594003|Complete
255599008|Incomplete
1990001000004102|Near complete
272520006|Degree findings
423437008|Insufficient
425404009|Slightly
425405005|Excellent
428247006|Blunted
428691001|Accentuated
445511000124105|Fair
385425000|Improved
445021000124109|Slightly better
445031000124107|Much better
260383002|Late
255511005|Long
367450005|Short
18043004|Thin
20572008|Good
445451000124105|Moderately good
444871000124104|Very good
1250004|Decreased
1304092003|Decreased relative to baseline
1304091005|Decreased relative to expected
35105006|Increased
75540009|High
260360000|Very high
1256037004|Extremely high
1285521002|Ultra high
371879000|Abnormally high
1255665007|Moderate
263812008|Moderate growth
260354000|Moderate number
260355004|Moderate peak
62482003|Low
260362008|Very low
371880002|Abnormally low
82334004|Indeterminate
255359009|Reducible
18307000|Altered
12565001|Extreme
78799005|Loose
88323005|Adequate
71978007|Inadequate
17275008|Compensated
63346003|Uncompensated
260379002|Impaired
260381000|Inefficient
264535005|Inefficient emptying
131196009|Susceptible
264841006|Intermediately susceptible
260357007|Moderately susceptible
260407003|Weak
260376009|Enlarged
42425007|Equivocal
54328002|Indifferent
255509001|Large
258262008|Very large
134223000|Narrow
260395002|Normal range
260400001|Reduced
30714006|Resistant
359530003|Shortened
255507004|Small
84496004|Microscopic
255510006|Slight
260403004|Small peak
263656005|Accurate
260364009|Additive
260370003|Decrease
260371004|Decreasing
260372006|Deficient
260375008|Efficient
263745000|Efficient emptying
260377000|Exaggerated
260378005|Excessive
263776006|Heavy growth
260365005|Heightened
263782009|Inaccurate
260380004|Inconsistent
260366006|Increase
260369004|Increasing
260382007|Large peak
260384008|Long duration
260352001|Marginate
