code|text
1000000|amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
1000001|amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet
1000005|amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
1000009|dimethicone 100 MG/ML / miconazole nitrate 20 MG/ML / zinc oxide 100 MG/ML Topical Spray
1000013|whole wheat allergenic extract 50 MG/ML Injectable Solution
1000015|western wheatgrass pollen extract 10000 UNT/ML Injectable Solution
1000024|methenamine mandelate 100 MG/ML Oral Suspension
1000025|methenamine hippurate 1000 MG Oral Capsule
1000027|methenamine mandelate 300 MG / sodium phosphate 500 MG Oral Tablet
1000048|doxepin 10 MG Oral Capsule
1000054|doxepin 10 MG/ML Oral Solution
1000058|doxepin 100 MG Oral Capsule
1000064|doxepin 150 MG Oral Capsule
1000070|doxepin 25 MG Oral Capsule
1000076|doxepin 50 MG Oral Capsule
1000082|alcaftadine
1000084|alcaftadine Ophthalmic Solution
1000085|alcaftadine 2.5 MG/ML Ophthalmic Solution
1000086|Lastacaft
1000088|alcaftadine Ophthalmic Solution [Lastacaft]
1000089|alcaftadine 2.5 MG/ML Ophthalmic Solution [Lastacaft]
1000091|doxepin hydrochloride 50 MG/ML Topical Cream
1000093|doxepin hydrochloride 50 MG/ML Topical Cream [Prudoxin]
1000095|doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]
1000097|doxepin 75 MG Oral Capsule
1000107|incobotulinumtoxinA 200 UNT Injection
1000108|Xeomin
1000114|medroxyprogesterone acetate 10 MG Oral Tablet
1000124|medroxyprogesterone acetate 10 MG Oral Tablet [Provera]
1000126|1 ML medroxyprogesterone acetate 150 MG/ML Injection
1000128|1 ML medroxyprogesterone acetate 150 MG/ML Injection [Depo-Provera]
1000131|medroxyprogesterone acetate 400 MG/ML Injectable Suspension
1000133|medroxyprogesterone acetate 400 MG/ML Injectable Suspension [Depo-Provera]
1000135|medroxyprogesterone acetate 2.5 MG Oral Tablet
1000139|medroxyprogesterone acetate 2.5 MG Oral Tablet [Provera]
1000141|medroxyprogesterone acetate 5 MG Oral Tablet
1000145|medroxyprogesterone acetate 5 MG Oral Tablet [Provera]
1000149|estradiol cypionate 10 MG/ML / medroxyprogesterone acetate 50 MG/ML Injectable Suspension
1000153|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe
1000154|1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe [Depo-Provera]
1000156|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe
1000158|0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe [depo-subQ provera]
1000161|estradiol valerate 2 MG / medroxyprogesterone acetate 20 MG Oral Tablet
1000163|Alternaria alternata allergenic extract 20000 UNT/ML Injectable Solution
1000351|estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet
1000352|estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet
1000353|estrogens, conjugated (USP) 0.625 MG / estrogens, esterified (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet
1000354|estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 10 MG Oral Tablet
1000355|estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet
1000356|estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet
1000364|medroxyprogesterone acetate 100 MG Oral Tablet
1000374|medroxyprogesterone acetate 160 MG/ML Injectable Suspension
1000376|medroxyprogesterone acetate 200 MG Oral Tablet
1000378|medroxyprogesterone acetate 200 MG/ML Injectable Suspension
1000380|medroxyprogesterone acetate 250 MG Oral Tablet
1000384|medroxyprogesterone acetate 400 MG Oral Tablet
1000386|medroxyprogesterone acetate 500 MG Oral Tablet
1000395|{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack
1000398|{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack
1000405|norethindrone acetate 5 MG Oral Tablet
1000407|norethindrone acetate 5 MG Oral Tablet [Aygestin]
1000479|{1 (bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (polyethylene glycol 3350 210000 MG / potassium chloride 740 MG / sodium bicarbonate 2860 MG / sodium chloride 5600 MG Powder for Oral Solution) } Pack
1000486|{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack
1000487|{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]
1000490|{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack
1000491|{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.3/1.5 28 Day]
1000492|resveratrol
1000494|resveratrol Oral Capsule
1000495|resveratrol 250 MG Oral Capsule
1000496|{28 (estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack
1000497|{28 (estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.45/1.5 28 Day]
1000499|{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack [Prempro 0.625/2.5 28 Day]
1000500|{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack [Prempro 0.625/5 28 Day]
1000502|dextromethorphan hydrobromide 6 MG/ML / guaifenesin 40 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution
1000556|fluorometholone 1 MG/ML / sulfacetamide sodium 100 MG/ML Ophthalmic Suspension
1000577|microcrystalline cellulose
1000581|trichlorfon
1000636|dimethicone 12.5 MG/ML Topical Lotion
1000638|pilocarpine hydrochloride 0.04 MG/MG Ophthalmic Gel
1000647|pilocarpine hydrochloride 10 MG/ML Ophthalmic Solution
1000660|pilocarpine hydrochloride 10 MG/ML Ophthalmic Solution [Pilocar]
1000664|pilocarpine hydrochloride 100 MG/ML Ophthalmic Solution
1000668|pilocarpine hydrochloride 2.5 MG/ML Ophthalmic Solution
1000673|sulfacetamide sodium 0.1 MG/MG Ophthalmic Ointment
1000713|sulfacetamide sodium 0.1 MG/MG Topical Gel
1000720|sulfacetamide sodium 100 MG/ML / sulfur 10 MG/ML Medicated Liquid Soap [BP 10-Wash]
1000731|sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Topical Cream
1000736|sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Topical Cream [Avar]
1000859|sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap
1000861|sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap [BP Cleansing Wash]
1000862|pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution
1000868|sulfacetamide sodium 0.025 MG/MG Ophthalmic Ointment
1000870|pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution [Isoptocarpine]
1000874|sulfacetamide sodium 0.06 MG/MG Ophthalmic Ointment
1000876|pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution [Pilocar]
1000884|pilocarpine hydrochloride 30 MG/ML Ophthalmic Solution
1000895|sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Medicated Liquid Soap
1000897|pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution
1000903|pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution [Isoptocarpine]
1000907|pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution [Pilocar]
1000913|pilocarpine hydrochloride 5 MG Oral Tablet
1000915|pilocarpine hydrochloride 5 MG Oral Tablet [Salagen]
1000917|pilocarpine hydrochloride 5 MG/ML Ophthalmic Solution
1000939|pilocarpine hydrochloride 60 MG/ML Ophthalmic Solution
1000946|sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Pad
